Match ID,Round,Status,Start Timestamp,Home Team,Away Team,Home Score,Away Score,Final Result Only,Has XG Data,Slug
12436970,27,Ended,1740511800,Brighton & Hove Albion,Bournemouth,2,1,False,True,bournemouth-brighton-and-hove-albion
12436983,27,Ended,1740511800,Crystal Palace,Aston Villa,4,1,False,True,aston-villa-crystal-palace
12436981,27,Ended,1740511800,Wolverhampton,Fulham,1,2,False,True,fulham-wolverhampton
12436986,27,Ended,1740514500,Chelsea,Southampton,4,0,False,True,southampton-chelsea
12436968,27,Ended,1740598200,Brentford,Everton,1,1,False,True,brentford-everton
12436991,27,Ended,1740598200,Manchester United,Ipswich Town,3,2,False,True,manchester-united-ipswich-town
12436974,27,Ended,1740598200,Nottingham Forest,Arsenal,0,0,False,True,arsenal-nottingham-forest
12436975,27,Ended,1740598200,Tottenham Hotspur,Manchester City,0,1,False,True,tottenham-hotspur-manchester-city
12436988,27,Ended,1740600900,Liverpool,Newcastle United,2,0,False,True,liverpool-newcastle-united
13365051,27,Ended,1740686400,West Ham United,Leicester City,2,0,False,True,west-ham-united-leicester-city
