Match ID,Round,Status,Start Timestamp,Home Team,Away Team,Home Score,Away Score,Final Result Only,Has XG Data,Slug
12436453,17,Ended,1734778800,Aston Villa,Manchester City,3,2,True,False,aston-villa-manchester-city
12436463,17,Ended,1734799500,Brentford,Nottingham Forest,1,2,True,True,brentford-nottingham-forest
12436467,17,Ended,1734784200,Ipswich Town,Newcastle United,0,4,True,False,newcastle-united-ipswich-town
12436478,17,Ended,1734797700,West Ham United,Brighton & Hove Albion,1,2,True,True,west-ham-united-brighton-and-hove-albion
12436464,17,Ended,1734804000,Crystal Palace,Arsenal,1,6,False,True,arsenal-crystal-palace
12436466,17,Ended,1734869700,Everton,Chelsea,0,0,True,True,everton-chelsea
12436468,17,Ended,1734880500,Fulham,Southampton,0,0,False,False,southampton-fulham
12436469,17,Ended,1734879600,Leicester City,Wolverhampton,0,3,True,False,leicester-city-wolverhampton
12436470,17,Ended,1734881400,Manchester United,Bournemouth,1,3,False,True,bournemouth-manchester-united
12436471,17,Ended,1734890400,Tottenham Hotspur,Liverpool,4,7,False,False,liverpool-tottenham-hotspur
