Match ID,Round,Status,Start Timestamp,Home Team,Away Team,Home Score,Away Score,Final Result Only,Has XG Data,Slug
12437015,7,Ended,1728127800,Crystal Palace,Liverpool,0,1,False,True,liverpool-crystal-palace
12437004,7,Ended,1728136800,Arsenal,Southampton,3,1,False,True,southampton-arsenal
12437008,7,Ended,1728136800,Brentford,Wolverhampton,5,3,False,True,brentford-wolverhampton
12437020,7,Ended,1728136800,Leicester City,Bournemouth,1,0,False,True,bournemouth-leicester-city
12437022,7,Ended,1728136800,Manchester City,Fulham,3,2,False,True,fulham-manchester-city
12437024,7,Ended,1728136800,West Ham United,Ipswich Town,4,1,False,True,west-ham-united-ipswich-town
12437018,7,Ended,1728145800,Everton,Newcastle United,0,0,False,True,everton-newcastle-united
12437006,7,Ended,1728219600,Aston Villa,Manchester United,0,0,False,True,aston-villa-manchester-united
12437013,7,Ended,1728219600,Chelsea,Nottingham Forest,1,1,False,True,chelsea-nottingham-forest
12437011,7,Ended,1728228600,Brighton & Hove Albion,Tottenham Hotspur,3,2,False,True,tottenham-hotspur-brighton-and-hove-albion
